DBID	Name	Group
DB04663	2-KETO-6-PHOSPHATE-D-GLUCONIC ACID, ALPHA-FURANOSE FORM	experimental
DB04664	Cyclohexyl-pentyl-maltoside	experimental
DB04665	Coumarin	experimental
DB04666	CHROMOPHORE (LYS-TYR-GLY)	experimental
DB04667	CHROMOPHORE (HIS-TYR-GLY)	experimental
DB04668	CHROMOPHORE (GLU-TYR-GLY)	experimental
DB04669	TRIAZOLOPYRIMIDINE	experimental
DB04671	[(1S)-4-[[Amino-[(2R)-2-amino-2-carboxyethyl]sulfanylmethylidene]amino]-1-carboxybutyl]azanium	experimental
DB04672	Cyclic 3',5'-thymidine monophosphate	experimental
DB04673	4-[(5-CHLOROINDOL-2-YL)SULFONYL]-2-(2-METHYLPROPYL)-1-[[5-(PYRIDIN-4-YL)PYRIMIDIN-2-YL]CARBONYL]PIPERAZINE	experimental
DB04674	2-HYDROXY-3,5-DIIODOBENZOIC ACID	experimental
DB04676	Dansyllysine	experimental
DB04677	N-METHYL-N-[(1R)-1-METHYL-2-PHENYLETHYL]PROP-2-EN-1-AMINE	experimental
DB04678	H TYPE II TRISACCHARIDE	experimental
DB04679	Human blood group H type 1 trisaccharide	experimental
DB04680	GALACTOSE GREASE	experimental
DB04681	BETA-METHYLLACTOSIDE	experimental
DB04682	Octylphenoxy polyethoxyethanol	experimental
DB04683	(2R)-3-{[{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-2-[(9E)-HEXADEC-9-ENOYLOXY]PROPYL (9E)-OCTADEC-9-ENOATE	experimental
DB04684	Bis(6-aminohexyl)amine	experimental
DB04685	1-{(2S,5S)-4-FLUORO-5-[(TRITYLOXY)METHYL]TETRAHYDROFURAN-2-YL}PYRIMIDINE-2,4(1H,3H)-DIONE	experimental
DB04686	CHROMOPHORE (ASP-TYR-GLY)	experimental
DB04687	DIMETHYL THIOPHOSPHATE	experimental
DB04688	Methylecgonine	experimental
DB04689	2-{5-[3-(6-BENZOYL-1-PROPYLNAPHTHALEN-2-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID	experimental
DB04690	Camptothecin	experimental
DB04691	2'-O-[1-ethyl-1H-imidazol)] thymidine-5'-monophosphate	experimental
DB04692	Ethyl (2E)-4-({(2S)-2-[(N-{[(2-methyl-2-propanyl)oxy]carbonyl}-L-valyl)amino]-2-phenylacetyl}amino)-5-[(3S)-2-oxo-3-pyrrolidinyl]-2-pentenoate	experimental
DB04693	Estrane-3,17-dione	experimental
DB04694	2,6-anhydro-3-deoxy-3-fluoronononic acid	experimental
DB04695	Farnesyl thiopyrophosphate	experimental
DB04696	4-CHLORO-3',3''-DIBROMOPHENOL-1,8-NAPHTHALEIN	experimental
DB04697	TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE	experimental
DB04698	N-(1,4-dihydro-5H-tetrazol-5-ylidene)-9-oxo-9H-xanthene-2-sulfonamide	experimental
DB04699	gamma-Butyrolactone	experimental, illicit
DB04700	GLUTATHIONE SULFINATE	experimental
DB04701	S-Methyl glutathione	experimental
DB04702	S-[(2E)-3,7-DIMETHYLOCTA-2,6-DIENYL] TRIHYDROGENTHIODIPHOSPHATE	experimental
DB04703	Hesperidin	approved, investigational
DB04704	20-hydroxycholesterol	experimental
DB04705	25-Hydroxycholesterol	experimental
DB04706	7beta-hydroxycholesterol	experimental
DB04707	Hydroxyfasudil	experimental
DB04708	(S)-TETRAHYDROFURAN-3-YL (2S,3S)-4-((S)-4-((1R,3R)-3-(2-AMINO-2-OXOETHYL)-2,3-DIHYDRO-1H-INDEN-1-YL)-2-BENZYL-3-OXO-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE	experimental
DB04709	(3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE	experimental
DB04710	(E)-(S)-4-[(S)-4-METHYL-2-((S)-3-METHYL-2{(S)-2-[(5-METHYL-ISOXAZOLE-3- CARBONYL)-AMINO]-PROPIONYLAMINO}-BUTYRYLAMINO)-PENTANOYLAMINO]-5-((S)-2- OXO-PYRROLIDIN-3-YL)-PENT-2-ENOIC ACID ETHYL ESTER	experimental
DB04711	Iodipamide	approved
DB04712	ANILINOMETHYL GLUCO-PHENYLIMIDAZOLE	experimental
DB04713	4-Iodo-D-phenylalanine	experimental
DB04714	ISOPENTENYL PYROPHOSPHATE	experimental
DB04715	IMIDAZOPYRIDAZIN 1	experimental
DB04716	2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one	experimental
DB04717	2''-O-[N-(3-(aminopropyl)2-aminoethyl]paromomycin	experimental
DB04718	(1R,2R,3S,4R,6S)-4,6-diamino-2-{[3-O-(2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl)-2-O-{2-[(piperidin-3-ylmethyl)amino]ethyl}-beta-D-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-D-glucopyranoside	experimental
DB04719	DIMETHYL-(4,5,6,7-TETRABROMO-1H-BENZOIMIDAZOL-2-YL)-AMINE	experimental
DB04720	S-METHYL-4,5,6,7-TETRABROMO-BENZIMIDAZOLE	experimental
DB04721	N1,N2-ETHYLENE-2-METHYLAMINO-4,5,6,7-TETRABROMO-BENZIMIDAZOLE	experimental
DB04722	2-[3-chloro-6-[2,2-difluoro-2-(1-oxidopyridin-1-ium-2-yl)ethyl]imino-1-hydroxypyridin-2-yl]-N-[(1R)-1-(3-chlorophenyl)ethyl]acetamide	experimental
DB04723	2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID	experimental
DB04724	(S)-2-((S)-3-isobutyl-2,5-dioxo-4-quinolin-3-ylmethyl-[1,4]diazepan-1yl)-N-methyl-3-naphtalen-2-yl-propionamide	experimental
DB04725	Licofelone	investigational
DB04726	Lumiflavin	experimental
DB04727	1-{4-[4-Amino-6-(4-methoxyphenyl)furo[2,3-d]pyrimidin-5-yl]phenyl}-3-[2-fluoro-5-(trifluoromethyl)phenyl]urea	experimental
DB04728	Lividomycin A	experimental
DB04729	Gentamicin C1a	experimental
DB04731	1-ACETYL-2-LYSO-SN-GLYCERO-3-PHOSPHOETHANOLAMINE	experimental
DB04732	N-(4-MORPHOLINE)CARBONYL-B-(1-NAPHTHYL)-L-ALANINE-L-LEUCINE BORONIC ACID	experimental
DB04733	1,6-DI-O-PHOSPHONO-D-MANNITOL	experimental
DB04734	Citraconic acid	experimental
DB04735	MONOGALACTOSYL-DIACYLGLYCEROL	experimental
DB04736	2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOPYRANOSE(BETA1-4)-2-ACETAMIDO-1,6-ANHYDRO-3-O-[(R)-1-CARBOXYETHYL]-2-DEOXY-BETA-D-GLUCOPYRANOSE-L-ALANYL-GAMMA-D-GLUTAMYL-MESO-DIAMINOPIMELYL-D-ALANINE	experimental
DB04737	(S)-mandelonitrile	experimental
DB04738	Motuporin	experimental
DB04739	4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE	experimental
DB04740	Moxalactam (hydrolyzed)	experimental
DB04741	Myxothiazol	experimental
DB04742	(2R)-2-{(1R)-2-oxo-1-[(2-thienylacetyl)amino]ethyl}-5,6-dihydro-2h-1,3-thiazine-4-carboxylic acid	experimental
DB04743	Nimesulide	approved, investigational, withdrawn
DB04744	Lawsone	experimental
DB04745	2-Hydroxyquinoline	experimental
DB04746	(10E,12Z)-octadecadienoic acid	experimental
DB04747	11-TRANS-13-TRANS-15-CIS-OCTADECATRIENOIC ACID	experimental
DB04748	OXIMINOARYLSULFONAMIDE	experimental
DB04749	2-(3-OXO-PROPYLSULFANYLCARBONYL)-ETHANETHIOLATE	experimental
DB04750	OREGON GREEN 488 CARBOXYLATE	experimental
DB04751	Purvalanol A	experimental
DB04752	Phosphatidyl ethanol	experimental
DB04753	9-DEAZAINOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE	experimental
DB04754	GUANOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE	experimental
DB04755	PROPYL-1-PHOSPHATE	experimental
DB04756	2-[(3,5-Dichloro-4-trioxidanylphenyl)amino]benzoic acid	experimental
DB04757	GUANOSINE-2',3'-O-METHYLIDENEPHOSPHONATE	experimental
DB04758	2-[2-ETHANESULFONYLAMINO-3-(1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIM IDOYL-BENZYLAMIDE)	experimental
DB04759	PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(3-METHYL-BENZYLAMIDE)	experimental
DB04760	PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(4-FLUORO-3-METHYL-BENZYLAMIDE)	experimental
DB04761	PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-[(PYRIDIN-3-YLMETHYL)-AMIDE]	experimental
DB04762	N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE	experimental
DB04763	1-N-(4-SULFAMOYLPHENYL-ETHYL)-2,4,6-TRIMETHYLPYRIDINIUM	experimental
DB04764	[4-(3-AMINOMETHYL-PHENYL)-PIPERIDIN-1-YL]-(5-PHENETHYL- PYRIDIN-3-YL)-METHANONE	experimental
DB04765	N-PYRIDOXYL-2-METHYL-L-GLUTAMIC ACID-5'-MONOPHOSPHATE	experimental
DB04767	N-[1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-3-METHYLSULFANYL-PROPYL]-3-HYDROXY-2-PROPOXYAMINO-BUTYRAMID	experimental
DB04768	Pyrithiamine Pyrophosphate	experimental
DB04769	5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE	experimental
DB04770	O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL	experimental
DB04771	1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE	experimental
DB04772	1-GUANIDINO-4-(N-PHENYLMETHANESULFONYL-L-LEUCYL-L-PROLYLAMINO)BUTANE	experimental
DB04773	METHYL (3R)-3-{[(3R)-3-{[(3R)-3-HYDROXYBUTANOYL]OXY}BUTANOYL]OXY}BUTANOATE	experimental
DB04774	Reidispongiolide A	experimental
DB04775	Reidispongiolide C	experimental
DB04776	(2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol	experimental
DB04777	(R)-4-Nitrostyrene oxide	experimental
DB04778	SC45647	experimental
DB04779	ETHYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE	experimental
DB04780	Sulfatide	experimental
DB04781	5-hydroxyvaleric acid	experimental
DB04782	(S)-4-Nitrostyrene oxide	experimental
DB04783	Sphinxolide B	experimental
DB04784	(R)-1-phenylethanol	experimental
DB04785	Streptolydigin	experimental
DB04786	Suramin	investigational
DB04787	Tanaproget	investigational
DB04788	Tagetitoxin	experimental
DB04789	5-methyltetrahydrofolic acid	investigational, nutraceutical
DB04790	2,5-bis-O-{3-[amino(imino)methyl]phenyl}-1,4:3,6-dianhydro-D-glucitol	experimental
DB04791	2-O-(4'-AMIDINOPHENYL)-5-O-(3''-AMIDINOPHENYL)-1,4:3,6-DIANHYDRO-D-SORBITOL	experimental
DB04792	2,5-O,O-BIS-{4',4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL	experimental
DB04793	1,4:3,6-Dianhydro-2-O-(3-carbamimidoylphenyl)-5-O-(4-carbamimidoylphenyl)-D-glucitol	experimental
DB04794	Bifonazole	approved, investigational
DB04795	Thenoyltrifluoroacetone	experimental
DB04796	Inecalcitol	investigational
DB04797	Triazolopyridine	experimental
DB04798	THIO-ATPA	experimental
DB04799	6-Hydroxy-5-undecyl-4,7-benzothiazoledione	experimental
DB04800	1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID	experimental
DB04801	cis-Vaccenic acid	experimental
DB04802	D-Erythro-2,3-diaminobutyric acid	experimental
DB04803	Verdoheme	experimental
DB04804	(2S)-2,3-Diaminobutanoic acid	experimental
DB04805	Virginiamycin S1	experimental
DB04806	(5-BROMO-4-CHLORO-3-INDOLYL)-A-D-MANNOSE	experimental
DB04807	4-NITROPHENYL-(6-S-ALPHA-D-XYLOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE	experimental
DB04808	Neamine	experimental
DB04809	SALOPHEN-10-PROPIONATE IRON CHELATE	experimental
DB04810	Salophen-10-carboxylate iron chelate	experimental
DB04811	Salophen iron chelate	experimental
DB04812	Benoxaprofen	approved, withdrawn
DB04813	Bithionol	approved, withdrawn
DB04814	Bunamiodyl	withdrawn
DB04815	Clioquinol	approved, vet_approved, withdrawn
DB04816	Dantron	approved, investigational, withdrawn
DB04817	Metamizole	approved, investigational, withdrawn
DB04818	Iproniazid	withdrawn
DB04819	Methapyrilene	withdrawn
DB04820	Nialamide	approved, withdrawn
DB04821	Nomifensine	approved, withdrawn
DB04822	Oxeladin	approved, withdrawn
DB04823	Oxyphenisatin	investigational, withdrawn
DB04824	Phenolphthalein	approved, withdrawn
DB04825	Prenylamine	approved, withdrawn
DB04826	Thenalidine	approved, withdrawn
DB04827	Urethane	approved, withdrawn
DB04828	Zomepirac	withdrawn
DB04829	Lysergic acid diethylamide	illicit, investigational, withdrawn
DB04830	Buformin	investigational, withdrawn
DB04831	Tienilic acid	withdrawn
DB04832	Zimelidine	approved, withdrawn
DB04833	Methaqualone	illicit, withdrawn
DB04834	Rapacuronium	approved, withdrawn
DB04835	Maraviroc	approved, investigational
DB04836	Amineptine	illicit, withdrawn
DB04837	Clofedanol	approved, withdrawn
DB04838	Cyclandelate	approved
DB04839	Cyproterone acetate	approved, investigational
DB04840	Debrisoquine	approved, investigational
DB04841	Flunarizine	approved
DB04842	Fluspirilene	approved, investigational
DB04843	Mepenzolate	approved
DB04844	Tetrabenazine	approved, investigational
DB04845	Ixabepilone	approved, investigational
DB04846	Celiprolol	approved, investigational
DB04847	Roxadustat	approved, investigational
DB04848	AZD0947	investigational
DB04849	Cediranib	investigational
DB04850	Posizolid	investigational
DB04851	Biricodar	investigational
DB04852	Implitapide	investigational
DB04853	Binodenoson	investigational
DB04854	Febuxostat	approved
DB04855	Dronedarone	approved
DB04856	Dexloxiglumide	investigational
DB04857	Brasofensine	investigational
DB04858	Tirapazamine	investigational
DB04859	Zanapezil	investigational
DB04860	Isatoribine	investigational
DB04861	Nebivolol	approved, investigational
DB04862	Merimepodib	investigational
DB04863	Lefradafiban	investigational
DB04864	Huperzine A	approved, experimental
DB04865	Omacetaxine mepesuccinate	approved, investigational
DB04866	Halofuginone	investigational, vet_approved
DB04867	Lintitript	investigational
DB04868	Nilotinib	approved, investigational
DB04869	Olcegepant	investigational
DB04870	Oleoyl-estrone	investigational
DB04871	Lorcaserin	approved
DB04872	Osanetant	investigational
DB04873	Piboserod	investigational
DB04874	Picoplatin	investigational
DB04875	Pralnacasan	investigational
DB04876	Vildagliptin	approved, investigational
DB04877	Voacamine	experimental
DB04878	Voglibose	investigational
DB04879	Vatalanib	investigational
DB04880	Enoximone	approved, investigational
DB04881	Elacridar	investigational
DB04882	Edotecarin	investigational
DB04883	Darusentan	investigational
DB04884	Dapoxetine	investigational
DB04885	Cilansetron	investigational
DB04886	Calanolide A	investigational
DB04887	Brecanavir	investigational
DB04888	Bifeprunox	investigational
DB04889	Bicifadine	investigational
DB04890	Bepotastine	approved
DB04891	Becocalcidiol	investigational
DB04892	Phenserine	investigational
DB04893	AZD3409	investigational
DB04894	Vapreotide	experimental, investigational
DB04895	Pegaptanib	approved, investigational
DB04896	Milnacipran	approved, investigational
DB04897	Lucinactant	approved, investigational
DB04898	Ximelagatran	approved, investigational, withdrawn
DB04899	Nesiritide	approved, investigational
DB04900	Thymalfasin	investigational
DB04901	Galiximab	investigational
DB04903	Pagoclone	investigational
DB04904	Amolimogene	investigational
DB04905	Tesmilifene	investigational
DB04907	Sitimagene ceradenovec	investigational
DB04908	Flibanserin	approved, investigational
DB04909	Sitamaquine	investigational
DB04910	Oxibendazole	investigational, vet_approved
DB04911	Oritavancin	approved, investigational
DB04912	Stannsoporfin	investigational
DB04914	G17DT	investigational
DB04915	Idronoxil	investigational
DB04917	Renzapride	investigational
DB04918	Ceftobiprole	approved, investigational
DB04919	Alfimeprase	investigational
DB04920	Clevidipine	approved, investigational
DB04921	Dirucotide	investigational
DB04923	rhThrombin	approved, investigational
DB04924	Itopride	investigational
DB04925	Desmoteplase	investigational
DB04926	Neramexane	investigational
DB04928	XP12B	investigational
DB04929	DG031	investigational
DB04930	Permethrin	approved, investigational
DB04931	Afamelanotide	approved, investigational
DB04932	Defibrotide	approved, investigational
DB04933	Eritoran	investigational
DB04934	Rifalazil	investigational
DB04936	Tagatose	investigational
DB04938	Ospemifene	approved, investigational
DB04941	Crofelemer	approved
DB04942	Tamibarotene	investigational
DB04943	LX201	investigational
DB04944	Acadesine	investigational
DB04945	Hemoglobin	approved, experimental, investigational
DB04946	Iloperidone	approved
DB04947	Altropane	investigational
DB04948	Lofexidine	approved, investigational
DB04949	Pexelizumab	investigational
DB04950	Ranpirnase	investigational
DB04951	Pirfenidone	approved, investigational
DB04952	Ramoplanin	investigational
DB04953	Ezogabine	approved, investigational
DB04954	Tecadenoson	investigational
DB04955	Pumactant	investigational
DB04956	Afelimomab	investigational
DB04957	Azimilide	investigational
DB04958	Epratuzumab	investigational
DB04959	Verpasep caltespen	investigational
DB04960	Tipifarnib	investigational
DB04961	Troxacitabine	investigational
DB04962	Bectumomab	investigational
DB04963	rhGAD65	investigational
DB04964	Oregovomab	investigational
DB04967	Lucanthone	investigational
DB04968	PH94B	investigational
DB04969	NV1020	investigational
DB04970	Lesopitron	investigational
DB04971	Reglitazar	investigational
DB04972	Canfosfamide	investigational
DB04973	LErafAON	investigational
DB04974	Rimiducid	investigational
DB04975	Banoxantrone	investigational
DB04976	M40403	investigational
DB04977	Plitidepsin	investigational
DB04978	SP1049C	investigational
DB04979	AVR118	investigational
DB04980	Lemuteporfin	investigational
DB04981	CG7870	investigational
DB04982	Talampanel	investigational
DB04983	Denufosol	investigational
DB04985	Tigapotide	investigational
DB04986	ZYC300	investigational
DB04987	P113D	investigational
DB04988	IGN311	investigational
DB04989	Ty800	investigational
DB04991	XL784	investigational
DB04992	AP5346	investigational
DB04995	AT1022	investigational
DB04996	Satraplatin	investigational
DB04997	ATL1102	investigational
DB04998	AGRO100	investigational
DB04999	MBO7133	investigational
DB05000	AeroLEF	investigational
DB05001	PSN9301	investigational
DB05003	Imexon	investigational
DB05004	Peptide YY (3-36)	investigational
DB05006	Adecatumumab	investigational
DB05009	Apadenoson	investigational
DB05010	SGS-742	investigational
DB05011	Taberminogene vadenovec	investigational
DB05012	XEN-2174	investigational
DB05013	Ingenol mebutate	approved
DB05014	XL999	investigational
DB05015	Belinostat	approved, investigational
DB05016	Ataluren	approved, investigational
DB05017	YSIL6	investigational
DB05018	Migalastat	approved, investigational
DB05019	LC16M8	investigational
DB05020	Besifovir dipivoxil	investigational
DB05021	EMZ702	investigational
DB05022	Amonafide	investigational
DB05023	ATL1101	investigational
DB05024	CTA018	investigational
DB05025	Arimoclomol	investigational
DB05027	DG041	investigational
DB05029	Lancovutide	investigational
DB05032	REV131	investigational
DB05033	INCB7839	investigational
DB05034	Ularitide	investigational
DB05035	Eprotirome	investigational
DB05036	Grn163l	investigational
DB05038	Anatibant	investigational
DB05039	Indacaterol	approved
DB05040	MVA3000	investigational
DB05042	SGS518	investigational
DB05043	GSK159797	investigational
DB05044	PSN357	investigational
DB05045	Obinepitide	investigational
DB05046	V1003	investigational
DB05047	CX-717	illicit, investigational
DB05048	Cannabinor	investigational
DB05049	DDP733	investigational
DB05050	ADL5859	investigational
DB05051	BZL101	investigational
DB05052	MF101	investigational
DB05053	MB-07803	investigational
DB05054	AN0128	investigational
DB05055	RG2417	investigational
DB05056	EGS21	investigational
DB05057	Erdosteine	approved, investigational
DB05059	ILY101	investigational
DB05060	R1626	investigational
DB05061	GFT14	investigational
DB05063	Mitoquinone	investigational
DB05064	INCB13739	investigational
DB05068	ATG002	investigational
DB05069	ATG003	investigational
DB05070	ADX10059	investigational
DB05071	ACE393	investigational
DB05072	AV608	investigational
DB05075	TG-100801	investigational
DB05076	Fenretinide	investigational
DB05077	SLV319	investigational
DB05078	AER001	investigational
DB05079	HY10275	investigational
DB05080	OBE101	investigational
DB05081	JB991	investigational
DB05082	ARX201	investigational
DB05084	Abaloparatide	approved, investigational
DB05085	TM30339	investigational
DB05087	Ganaxolone	investigational
DB05088	Tetrathiomolybdate	investigational
DB05089	VPM4001	investigational
DB05090	FP0011	investigational
DB05091	M0002	investigational
DB05092	CDP323	investigational
DB05093	AX200	investigational
DB05095	Cimicoxib	investigational
DB05096	LY2140023	investigational
DB05097	Labetuzumab	investigational
DB05098	Leptin	investigational
DB05099	Ancrod	approved, investigational
DB05100	Prinomastat	investigational
DB05101	Matuzumab	investigational
DB05102	Rupintrivir	investigational
DB05103	AN-9	investigational
DB05104	Asimadoline	investigational
DB05105	Pleconaril	investigational
DB05106	IR208	investigational
DB05107	16-Bromoepiandrosterone	investigational
DB05108	EHT899	investigational
DB05109	Trabectedin	approved, investigational
DB05110	VIR201	investigational
DB05111	Fontolizumab	investigational
DB05112	AP5280	investigational
DB05113	105AD7	investigational
DB05114	EHC18	investigational
DB05115	NN344	investigational
DB05116	Thymectacin	investigational
DB05117	IGN301	investigational
DB05118	R1204	investigational
DB05119	Rilapladib	investigational
DB05120	AT1391	investigational
DB05121	1D09C3	investigational
DB05122	R1295	investigational
DB05123	Gemcabene	investigational
DB05124	ARC183	investigational
DB05125	SC12267	investigational
DB05126	PYM50018	investigational
DB05127	ANA971	investigational
DB05128	Aminocandin	investigational
DB05129	Elsamitrucin	investigational
DB05130	INCB3284	investigational
DB05131	TTP889	investigational
DB05132	ND1251	investigational
DB05133	VP025	investigational
DB05134	Tanespimycin	investigational
DB05135	Vibriolysin	investigational
DB05136	Bavituximab	investigational
DB05137	Lobeline	investigational
DB05138	AdPEDF	investigational
DB05139	CR002	investigational
DB05140	RAV12	investigational
DB05141	LY2181308	investigational
DB05142	ND7001	investigational
DB05143	OXI-4503	investigational
DB05144	PEV3A	investigational
DB05145	TH0318	investigational
DB05146	XL820	investigational
DB05147	CYT997	investigational
DB05148	CG0070	investigational
DB05149	XL844	investigational
DB05150	CAD106	investigational
DB05151	TST10088	investigational
DB05152	NGX267	investigational
DB05154	Pretomanid	approved
DB05155	CR665	investigational
DB05156	SL017	investigational
DB05157	KC706	investigational
DB05158	PM02734	investigational
DB05159	CCX915	investigational
DB05160	Topsalysin	investigational
DB05161	Elafin	investigational
DB05163	PV903	investigational
DB05164	CMLVAX100	investigational
DB05165	LY2275796	investigational
DB05166	APD668	investigational
DB05167	PDPSC18	investigational
DB05168	Vintafolide	investigational
DB05169	AT9283	investigational
DB05170	Benzimate	investigational
DB05171	E-2012	investigational
DB05172	AT3022	investigational
DB05173	PTC299	investigational
DB05174	CX501	investigational
DB05177	DG051	investigational
DB05178	DLO6001	investigational
DB05179	DLO6002	investigational
DB05180	LX6171	investigational
DB05181	BTA798	investigational
DB05182	AS1409	investigational
DB05183	MLN0415	investigational
DB05184	XL228	investigational
DB05185	TRO19622	investigational
DB05186	SQ-109	investigational
DB05187	Elafibranor	investigational
DB05188	KD3010	investigational
DB05189	EPC2407	investigational
DB05190	XL281	investigational
DB05191	Atl146e	investigational
DB05192	MB07811	investigational
DB05194	KB002	investigational
DB05195	ADC4022	investigational
DB05196	ACR325	investigational
DB05197	Sofalcone	investigational
DB05198	CYC116	investigational
DB05199	LX1031	investigational
DB05200	AT2220	investigational
DB05201	V24343	investigational
DB05202	Egaptivon pegol	investigational
DB05203	SPP1148	investigational
DB05204	XL418	investigational
DB05205	CX157	investigational
DB05207	SD118	investigational
DB05209	Rozrolimupab	investigational
DB05210	SF1126	investigational
DB05211	PS386113	investigational
DB05212	HE3286	investigational
DB05214	KD7040	investigational
DB05217	GMX1777	investigational
DB05218	PN0621	investigational
DB05219	Crisaborole	approved, investigational
DB05220	Alisertib	investigational
DB05222	KB001	investigational
DB05223	Pracinostat	investigational
DB05224	REP8839	investigational
DB05225	AM103	investigational
DB05226	BTA9881	investigational
DB05227	APD791	investigational
DB05228	RDEA806	investigational
DB05229	Beraprost	investigational
DB05230	AC3056	investigational
DB05232	Tetrodotoxin	investigational
DB05233	AP1081	investigational
DB05234	LGD2941	investigational
DB05235	NRP409	investigational
DB05236	ReN001	investigational
DB05237	rhMBL	investigational
DB05239	Cobimetinib	approved, investigational
DB05241	XL765	investigational
DB05242	NUC B1000	investigational
DB05243	XL019	investigational
DB05244	G4544	investigational
DB05245	Silver sulfadiazine	approved, vet_approved
DB05246	Methsuximide	approved
DB05249	FavId	investigational
DB05252	Fenoxaprop-ethyl	investigational
DB05253	Telapristone acetate	investigational
DB05254	Fibrinolysin	investigational
DB05255	Ronacaleret	investigational
DB05257	Neocartilage	investigational
DB05258	Interferon alfa	investigational
DB05259	Glatiramer	approved, investigational
DB05260	Gallium nitrate	approved, investigational
DB05262	Oxypurinol	investigational
DB05263	Caprospinol	investigational
DB05264	NPI 32101	investigational
DB05265	Ecabet	investigational
DB05266	Ibudilast	investigational
DB05268	iCo-007	investigational
DB05271	Rotigotine	approved
DB05273	Samarium (153Sm) lexidronam	approved, investigational
DB05276	Hepatitis B immune globulin	approved, investigational
DB05282	MCC	investigational
DB05284	CA4P	investigational
DB05285	SB-249553	investigational
DB05288	Anecortave acetate	investigational
DB05289	Tarenflurbil	investigational
DB05290	SPP 301	investigational
DB05292	IDM-1	investigational
DB05293	IDM-2	investigational
DB05294	Vandetanib	approved
DB05295	Eldecalcitol	investigational
DB05296	Motexafin lutetium	investigational
DB05297	Paclitaxel docosahexaenoic acid	investigational
DB05298	Tetomilast	investigational
DB05299	Keyhole limpet hemocyanin	approved, investigational
DB05300	PTI-801	investigational
DB05301	LAX-101	investigational
DB05303	OMS-103HP	investigational
DB05304	Girentuximab	investigational
DB05305	Cintredekin besudotox	investigational
DB05306	Alferminogene tadenovec	investigational
DB05308	ANX-510	investigational
DB05309	TP-508	investigational
DB05310	FP-1096	investigational
DB05311	Ecallantide	approved, investigational
DB05312	NVS antibody	investigational
DB05313	MP4	investigational
DB05315	MC-1	investigational
DB05316	Pimavanserin	approved, investigational
DB05317	TAK-475	investigational
DB05319	Oportuzumab monatox	investigational
DB05320	ATG-Fresenius S	investigational
DB05321	PEG-uricase	investigational
DB05322	INGN 201	investigational
DB05325	INGN 225	investigational
DB05326	INKP-102	investigational
DB05327	Ranirestat	investigational
DB05328	VGV-1	investigational
DB05329	MDX-1379	investigational
DB05330	ALTU-135	investigational
DB05332	Romiplostim	approved
DB05333	TC-5231	investigational
DB05336	Obiltoxaximab	approved
DB05337	SOT-107	investigational
DB05339	MN-305	investigational
DB05340	ATL-2502	investigational
DB05343	Arundic acid	investigational
DB05344	Ciliary neurotrophic factor	investigational
DB05345	SO-101	investigational
DB05346	WL-1002	investigational
DB05351	Dexlansoprazole	approved, investigational
DB05352	Fx-1006A	investigational
DB05353	CMC 001	investigational
DB05361	SR-123781A	investigational
